 miss  hit/ tot   line  func
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor4main0s1_0B5_
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor4main0s2_0B5_
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor4main0s3_0B5_
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor4main0s4_0B5_
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor4main0s5_0B5_
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor4main0s6_0B5_
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor4main0s7_0B5_
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor4main0s8_0B5_
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor4main0s9_0B5_
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor4main0sa_0B5_
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor11load_configs2_0B3_
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor11load_configs3_0B3_
   7    0/   7    902  vMCsk7AmL81010j_13hg_supervisorNtB6_14SessionManager14rotate_session0s
   7    0/   7    902  vMCsk7AmL81010j_13hg_supervisorNtB6_14SessionManager16generate_session
   7    0/   7    902  vMCsk7AmL81010j_13hg_supervisorNtB4_14SessionManager11from_configs2_0B
   8    0/   8   1545  vCsk7AmL81010j_13hg_supervisor4main0s_0B5_
   9    0/   9   1564  vCsk7AmL81010j_13hg_supervisor4main0s0_0B5_
  10    0/  10   1203  vCsk7AmL81010j_13hg_supervisor15manage_instance00B5_
  16    0/  16    289  vMCsk7AmL81010j_13hg_supervisorNtB6_14SessionManager11from_configs_00B
  17    0/  17   1121  vCsk7AmL81010j_13hg_supervisor24monitor_honeygain_stderr0B3_
  17    0/  17   1106  vCsk7AmL81010j_13hg_supervisor24monitor_honeygain_stdout0B3_
  22    0/  22    698  vCsk7AmL81010j_13hg_supervisor19resolve_target_ipv40B3_
  35  118/ 153    544  vCsk7AmL81010j_13hg_supervisor14socks5_connect0B3_
  36    0/  36    664  vCsk7AmL81010j_13hg_supervisor13handle_client00B5_
  36    0/  36    664  vCsk7AmL81010j_13hg_supervisor13handle_client0s0_0B5_
  36    0/  36    664  vCsk7AmL81010j_13hg_supervisor15manage_instance0s7_0B5_
  38    0/  38    950  vCsk7AmL81010j_13hg_supervisor18run_instance_proxy0B3_
  45    0/  45   1377  vCsk7AmL81010j_13hg_supervisor13health_server0B3_
  49    0/  49   1034  vCsk7AmL81010j_13hg_supervisor18handle_output_line0B3_
  55    0/  55    723  vCsk7AmL81010j_13hg_supervisor23connect_through_session0B3_
  60    0/  60    813  vCsk7AmL81010j_13hg_supervisor16verify_egress_ip0B3_
  63    0/  63    991  vCsk7AmL81010j_13hg_supervisor15spawn_honeygain0B3_
  86    0/  86    612  vCsk7AmL81010j_13hg_supervisor12http_connect0B3_
 113    0/ 113   1478  vCsk7AmL81010j_13hg_supervisor4main0B3_
 135    0/ 135    163  vCsk7AmL81010j_13hg_supervisor11load_config
 144    0/ 144    863  vCsk7AmL81010j_13hg_supervisor13handle_client0B3_
 222    0/ 222   1159  vCsk7AmL81010j_13hg_supervisor15manage_instance0B3_
